Subject,Task,Winner,WinnerPosterior,NULL__UNC_INTRA_ONLY,NULL__UNC_FLEX,RELAY__UNC_INTRA_ONLY,RELAY__UNC_FLEX,DIRECT__UNC_INTRA_ONLY,DIRECT__UNC_FLEX,SENSORY_RELAY__UNC_INTRA_ONLY,SENSORY_RELAY__UNC_FLEX
sub-32,MDOD,SENSORY_RELAY__UNC_FLEX,0.8555388089415544,1.6758851157516126e-22,0.12071312992597623,6.904957071428553e-22,0.023748058545462507,2.7868997069987124e-24,2.5870068946151104e-09,1.7235068626875876e-17,0.8555388089415544
sub-32,MDOG,RELAY__UNC_FLEX,0.999995727090776,9.668404098216584e-29,1.3104876123035342e-20,1.6985224669209692e-21,0.999995727090776,3.544305502342848e-25,1.8780223554211148e-16,5.80539009815931e-13,4.272908643332299e-06
sub-32,MGOD,RELAY__UNC_FLEX,0.9999995109620359,6.553774291175172e-56,2.902408988986897e-45,4.890379640777283e-07,0.9999995109620359,7.96752053433879e-48,7.003584752624194e-23,1.0944848144721056e-45,5.6825883739453754e-27
sub-32,MGOG,SENSORY_RELAY__UNC_FLEX,0.9999584648630124,3.442714592600932e-49,6.027122657475704e-20,9.243025842612149e-30,3.209901613572248e-05,1.1047622781101684e-38,9.436120851938109e-06,8.552648406066917e-33,0.9999584648630124
sub-33,MDOD,SENSORY_RELAY__UNC_FLEX,0.9999037148942649,1.561308067245885e-29,5.949651067576564e-12,5.79468314666802e-23,9.465069611080658e-05,1.0303061875911403e-23,1.6344036747189744e-06,4.050747269997896e-18,0.9999037148942649
sub-33,MDOG,SENSORY_RELAY__UNC_FLEX,0.999962496428328,1.7776842014683595e-36,8.05908625822451e-39,2.1551373956595743e-19,2.4181740497746586e-17,5.76880991933692e-38,1.6609394265930057e-35,3.750357167198888e-05,0.999962496428328
sub-33,MGOD,RELAY__UNC_FLEX,0.99999999999973,9.541888920759634e-69,4.915953600903767e-66,4.39128094154508e-65,0.99999999999973,1.0069328370237508e-73,2.702609272813341e-68,1.3549434816109456e-27,2.699472550614655e-13
sub-33,MGOG,SENSORY_RELAY__UNC_FLEX,0.9999894904940653,3.0714073798995643e-28,8.274198172585148e-13,5.940031796714878e-24,8.673828845199724e-06,4.1249719918086604e-22,1.8356762615882756e-06,5.679092592616927e-16,0.9999894904940653
sub-34,MDOD,RELAY__UNC_FLEX,0.9999999994240378,7.48579593704299e-45,3.6725821743900784e-12,1.5060649978481848e-44,0.9999999994240378,2.820570382650594e-44,1.3153589652959695e-11,8.383426876694049e-31,5.59135869413276e-10
sub-34,MDOG,RELAY__UNC_FLEX,1.0,6.944656103038223e-91,9.101168810725022e-85,3.758532369924607e-31,1.0,4.880244777306115e-93,2.496359780431955e-81,2.3274479883992236e-74,4.501408266059705e-49
sub-34,MGOD,DIRECT__UNC_FLEX,0.9999999896240704,1.9151869804728484e-15,1.122419404758425e-10,2.1123275804009346e-31,1.4466993151837361e-15,1.7694373352571475e-61,0.9999999896240704,2.5240244747992846e-51,1.026368422564071e-08
sub-34,MGOG,SENSORY_RELAY__UNC_FLEX,1.0,5.976306696732927e-31,2.973290998939592e-18,4.308428705241579e-31,3.390875001384934e-18,1.4073335600364533e-31,8.873025385003644e-19,2.3675931608288374e-31,1.0
sub-41,MDOD,NULL__UNC_FLEX,0.7368999446319683,3.6233649978402245e-09,0.7368999446319683,9.307520472686568e-10,0.25499175813546315,1.2461973675942084e-13,0.0017494077900959556,1.0465287265116183e-12,0.0063588848871844105
sub-41,MDOG,SENSORY_RELAY__UNC_FLEX,0.9999999999620763,1.5216385160170735e-44,2.0053440860166793e-30,2.837578507976388e-38,3.792371393983548e-11,3.4438732683324922e-46,2.0421286461121079e-29,3.716509355146946e-27,0.9999999999620763
sub-41,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999999528180414,4.422427252165149e-32,3.3022990789812344e-13,4.95699741179336e-19,1.065625200909382e-11,1.9269043902742455e-24,1.1175819194983003e-19,4.717097198782485e-08,0.9999999528180414
sub-41,MGOG,RELAY__UNC_FLEX,1.0,5.174929074144096e-84,4.82504140327473e-53,1.2428014273119825e-84,1.0,2.218597463170647e-84,1.5657534926065772e-47,1.0957023142814307e-77,1.7749399617717135e-33
sub-42,MDOD,RELAY__UNC_FLEX,0.9999837805383832,2.340721566278583e-25,1.4737383165060861e-06,1.455393984573221e-24,0.9999837805383832,9.217111705104551e-27,1.3411701880697359e-05,7.237509118848645e-28,1.3340214197915997e-06
sub-42,MDOG,SENSORY_RELAY__UNC_FLEX,0.9999999912670278,7.459107460687084e-57,9.874448888611882e-41,1.868528562995596e-19,3.816089041340454e-09,5.6755483874943245e-25,4.916883186557101e-09,1.5596419276307213e-16,0.9999999912670278
